model_id,nll,brier,ece
0,0.0302,0.0141,0.0022
1,0.0262,0.0124,0.0022
2,0.0262,0.0113,0.0019
3,0.0237,0.0115,0.0022
4,0.0258,0.0132,0.0027
5,0.0367,0.0181,0.0029
6,0.0298,0.0140,0.0035
7,0.0256,0.0123,0.0031
8,0.0244,0.0120,0.0022
9,0.0311,0.0149,0.0031
10,0.0264,0.0135,0.0014
11,0.0287,0.0140,0.0023
12,0.0277,0.0129,0.0026
13,0.0241,0.0113,0.0015
14,0.0277,0.0133,0.0026
15,0.0279,0.0136,0.0023
16,0.0386,0.0174,0.0037
17,0.0332,0.0156,0.0028
18,0.0275,0.0138,0.0022
19,0.0270,0.0129,0.0023
mean±std,0.0284 ± 0.0039,0.0136 ± 0.0018,0.0025 ± 0.0006
