model_id,nll,brier,ece
0,0.0270,0.0119,0.0043
1,0.0270,0.0113,0.0050
2,0.0267,0.0112,0.0046
3,0.0253,0.0106,0.0043
4,0.0256,0.0115,0.0047
5,0.0250,0.0111,0.0057
6,0.0249,0.0110,0.0046
7,0.0271,0.0110,0.0060
8,0.0311,0.0133,0.0043
9,0.0274,0.0122,0.0042
10,0.0265,0.0119,0.0050
11,0.0320,0.0141,0.0047
12,0.0279,0.0126,0.0051
13,0.0251,0.0112,0.0043
14,0.0271,0.0113,0.0058
15,0.0242,0.0114,0.0044
16,0.0273,0.0123,0.0046
17,0.0257,0.0120,0.0046
18,0.0306,0.0137,0.0040
19,0.0298,0.0134,0.0028
mean±std,0.0272 ± 0.0021,0.0120 ± 0.0010,0.0046 ± 0.0007
