model_id,nll,brier,ece
0,0.0249,0.0110,0.0014
1,0.0247,0.0108,0.0016
2,0.0256,0.0113,0.0013
3,0.0230,0.0099,0.0015
4,0.0248,0.0114,0.0022
5,0.0225,0.0105,0.0015
6,0.0223,0.0103,0.0023
7,0.0243,0.0104,0.0017
8,0.0284,0.0129,0.0023
9,0.0253,0.0120,0.0022
10,0.0253,0.0116,0.0015
11,0.0304,0.0137,0.0021
12,0.0256,0.0122,0.0032
13,0.0220,0.0101,0.0020
14,0.0250,0.0113,0.0030
15,0.0220,0.0108,0.0032
16,0.0261,0.0118,0.0017
17,0.0244,0.0118,0.0023
18,0.0294,0.0133,0.0026
19,0.0285,0.0131,0.0029
mean±std,0.0252 ± 0.0023,0.0115 ± 0.0011,0.0021 ± 0.0006
