model_id,nll,brier,ece
0,0.0318,0.0136,0.0049
1,0.0292,0.0127,0.0046
2,0.0275,0.0116,0.0041
3,0.0239,0.0110,0.0038
4,0.0286,0.0129,0.0049
5,0.0400,0.0176,0.0066
6,0.0316,0.0144,0.0050
7,0.0272,0.0124,0.0045
8,0.0253,0.0117,0.0034
9,0.0342,0.0150,0.0054
10,0.0286,0.0137,0.0049
11,0.0317,0.0139,0.0049
12,0.0285,0.0124,0.0043
13,0.0269,0.0118,0.0045
14,0.0295,0.0127,0.0041
15,0.0306,0.0137,0.0047
16,0.0415,0.0170,0.0059
17,0.0337,0.0157,0.0058
18,0.0276,0.0132,0.0037
19,0.0302,0.0134,0.0043
mean±std,0.0304 ± 0.0043,0.0135 ± 0.0017,0.0047 ± 0.0008
