mode,data_type,nll,brier,ece
sngp,normal,0.0287,0.0126,0.0021
sngp,normal,0.0275,0.0116,0.0036
sngp,normal,0.0288,0.0118,0.0044
sngp,normal,0.025,0.0105,0.0026
sngp,normal,0.0268,0.0112,0.0039
sngp,normal,0.0283,0.0121,0.0039
sngp,normal,0.0249,0.0104,0.0044
sngp,normal,0.0233,0.01,0.005
sngp,normal,0.0273,0.0119,0.0049
sngp,normal,0.0258,0.0107,0.0044
sngp_ensemble,normal,0.0266 ± 0.0017,0.0113 ± 0.0008,0.0039 ± 0.0009
sngp,normal,0.0249,0.0096,0.0064
sngp,normal,0.0272,0.0104,0.0063
sngp,normal,0.0236,0.0096,0.0053
sngp,normal,0.0264,0.0108,0.0054
sngp,normal,0.0246,0.0098,0.0059
sngp,normal,0.0266,0.0105,0.0056
sngp,normal,0.027,0.0107,0.0054
sngp,normal,0.0247,0.0092,0.0067
sngp,normal,0.0296,0.0112,0.0067
sngp,normal,0.0297,0.0115,0.0066
sngp_ensemble,normal,0.0264 ± 0.0020,0.0103 ± 0.0007,0.0060 ± 0.0006
sngp,normal,0.0249,0.0096,0.0064
sngp,normal,0.0272,0.0104,0.0063
sngp,normal,0.0236,0.0096,0.0053
sngp,normal,0.0264,0.0108,0.0054
sngp,normal,0.0246,0.0098,0.0059
sngp,normal,0.0266,0.0105,0.0056
sngp,normal,0.027,0.0107,0.0054
sngp,normal,0.0247,0.0092,0.0067
sngp,normal,0.0296,0.0112,0.0067
sngp,normal,0.0297,0.0115,0.0066
sngp_ensemble,normal,0.0264 ± 0.0020,0.0103 ± 0.0007,0.0060 ± 0.0006
sngp,normal,0.0234,0.0121,0.0037
sngp,normal,0.0299,0.0134,0.0039
sngp,normal,0.0221,0.0106,0.003
sngp,normal,0.0233,0.0114,0.0031
sngp,normal,0.0233,0.0121,0.0039
sngp,normal,0.023,0.0118,0.0032
sngp,normal,0.0244,0.0112,0.0037
sngp,normal,0.024,0.0114,0.0037
sngp,normal,0.0252,0.0123,0.0035
sngp,normal,0.0283,0.0132,0.0039
sngp_ensemble,normal,0.0247 ± 0.0024,0.0120 ± 0.0008,0.0036 ± 0.0003
sngp,normal,0.0279,0.0121,0.0038
sngp,normal,0.0234,0.0107,0.0032
sngp,normal,0.0241,0.0103,0.0032
sngp,normal,0.0277,0.0125,0.0045
sngp,normal,0.0274,0.0114,0.0041
sngp,normal,0.0222,0.0105,0.0032
sngp,normal,0.0278,0.0126,0.0049
sngp,normal,0.0249,0.0108,0.0034
sngp,normal,0.0232,0.0105,0.0034
sngp,normal,0.0273,0.0127,0.0042
sngp_ensemble,normal,0.0256 ± 0.0021,0.0114 ± 0.0009,0.0038 ± 0.0006
sngp,normal,0.0249,0.0107,0.0039
sngp,normal,0.0251,0.0112,0.0044
sngp,normal,0.0247,0.0103,0.004
sngp,normal,0.0228,0.0093,0.0036
sngp,normal,0.0299,0.013,0.0049
sngp,normal,0.0299,0.013,0.0054
sngp,normal,0.0258,0.011,0.0035
sngp,normal,0.0249,0.0104,0.0027
sngp,normal,0.0266,0.0119,0.0036
sngp,normal,0.0277,0.012,0.004
sngp_ensemble,normal,0.0262 ± 0.0022,0.0113 ± 0.0011,0.0040 ± 0.0007
sngp,normal,0.0263,0.0104,0.0038
sngp,normal,0.028,0.0118,0.0039
sngp,normal,0.0276,0.0115,0.0047
sngp,normal,0.0282,0.0112,0.0036
sngp,normal,0.0287,0.0124,0.0045
sngp,normal,0.0284,0.012,0.0036
sngp,normal,0.028,0.0122,0.0061
sngp,normal,0.0272,0.0115,0.0047
sngp,normal,0.0278,0.0122,0.0038
sngp,normal,0.0281,0.0127,0.0036
sngp_ensemble,normal,0.0278 ± 0.0007,0.0118 ± 0.0006,0.0042 ± 0.0008
sngp,normal,0.0281,0.0124,0.0037
sngp,normal,0.026,0.0111,0.0046
sngp,normal,0.0312,0.0132,0.0031
sngp,normal,0.0265,0.0116,0.004
sngp,normal,0.0263,0.0111,0.0038
sngp,normal,0.023,0.0099,0.0042
sngp,normal,0.0263,0.0113,0.0045
sngp,normal,0.0223,0.0091,0.0042
sngp,normal,0.0279,0.012,0.0044
sngp,normal,0.0268,0.0113,0.0043
sngp_ensemble,normal,0.0264 ± 0.0024,0.0113 ± 0.0011,0.0041 ± 0.0004
sngp,normal,0.0321,0.0139,0.0036
sngp,normal,0.0272,0.0113,0.0049
sngp,normal,0.0338,0.0136,0.0033
sngp,normal,0.0279,0.0119,0.003
sngp,normal,0.0272,0.0111,0.0037
sngp,normal,0.0333,0.0134,0.0048
sngp,normal,0.0312,0.0133,0.0044
sngp,normal,0.0268,0.0112,0.005
sngp,normal,0.0335,0.0144,0.0052
sngp,normal,0.0295,0.0125,0.0043
sngp_ensemble,normal,0.0302 ± 0.0027,0.0127 ± 0.0012,0.0042 ± 0.0007
sngp,normal,0.0302,0.0156,0.0023
sngp,normal,0.0293,0.0154,0.002
sngp,normal,0.0327,0.0166,0.002
sngp,normal,0.0267,0.0137,0.0033
sngp,normal,0.0421,0.021,0.0038
sngp,normal,0.0328,0.0168,0.0025
sngp,normal,0.0342,0.0171,0.0016
sngp,normal,0.0307,0.0164,0.0022
sngp,normal,0.0292,0.0151,0.0014
sngp,normal,0.0291,0.0149,0.0016
sngp_ensemble,normal,0.0317 ± 0.0041,0.0162 ± 0.0019,0.0023 ± 0.0007
sngp,normal,0.026,0.0134,0.0034
sngp,normal,0.0233,0.0116,0.0026
sngp,normal,0.0264,0.0132,0.0029
sngp,normal,0.0306,0.0147,0.004
sngp,normal,0.0289,0.0136,0.0031
sngp,normal,0.0254,0.013,0.0032
sngp,normal,0.0267,0.0137,0.004
sngp,normal,0.0253,0.0134,0.0029
sngp,normal,0.0242,0.0122,0.0031
sngp,normal,0.0299,0.0142,0.0036
sngp_ensemble,normal,0.0267 ± 0.0023,0.0133 ± 0.0009,0.0033 ± 0.0004
sngp,normal,0.0277,0.0144,0.0036
sngp,normal,0.0248,0.0124,0.0023
sngp,normal,0.0277,0.0139,0.0026
sngp,normal,0.0276,0.0142,0.0038
sngp,normal,0.0306,0.0155,0.0033
sngp,normal,0.0252,0.0128,0.0029
sngp,normal,0.0274,0.0147,0.003
sngp,normal,0.0257,0.0132,0.0027
sngp,normal,0.0284,0.0149,0.0035
sngp,normal,0.0279,0.0136,0.0031
sngp_ensemble,normal,0.0273 ± 0.0016,0.0140 ± 0.0009,0.0031 ± 0.0004
sngp,normal,0.0277,0.0144,0.0036
sngp,normal,0.0248,0.0124,0.0023
sngp,normal,0.0277,0.0139,0.0026
sngp,normal,0.0276,0.0142,0.0038
sngp,normal,0.0306,0.0155,0.0033
sngp,normal,0.0252,0.0128,0.0029
sngp,normal,0.0274,0.0147,0.003
sngp,normal,0.0257,0.0132,0.0027
sngp,normal,0.0284,0.0149,0.0035
sngp,normal,0.0279,0.0136,0.0031
sngp_ensemble,normal,0.0273 ± 0.0016,0.0140 ± 0.0009,0.0031 ± 0.0004
sngp,normal,0.0277,0.0144,0.0044
sngp,normal,0.0248,0.0124,0.0028
sngp,normal,0.0277,0.0139,0.0033
sngp,normal,0.0276,0.0142,0.004
sngp,normal,0.0306,0.0155,0.0037
sngp,normal,0.0252,0.0128,0.0031
sngp,normal,0.0274,0.0147,0.0032
sngp,normal,0.0257,0.0132,0.0032
sngp,normal,0.0284,0.0149,0.0036
sngp,normal,0.0279,0.0136,0.0036
sngp_ensemble,normal,0.0273 ± 0.0016,0.0140 ± 0.0009,0.0035 ± 0.0005
sngp,normal,0.0287,0.0126,0.004
sngp,normal,0.0275,0.0116,0.0044
sngp,normal,0.0287,0.0118,0.0043
sngp,normal,0.025,0.0105,0.0039
sngp,normal,0.0268,0.0113,0.0056
sngp,normal,0.0282,0.012,0.0045
sngp,normal,0.0249,0.0104,0.0049
sngp,normal,0.0233,0.01,0.0057
sngp,normal,0.0272,0.0119,0.0055
sngp,normal,0.0258,0.0107,0.0047
sngp_ensemble,normal,0.0266 ± 0.0017,0.0113 ± 0.0008,0.0048 ± 0.0006
sngp,normal,0.0287,0.0126,0.0015
sngp,normal,0.0275,0.0116,0.0034
sngp,normal,0.0287,0.0118,0.0028
sngp,normal,0.025,0.0105,0.0024
sngp,normal,0.0268,0.0113,0.0031
sngp,normal,0.0282,0.012,0.0027
sngp,normal,0.0249,0.0104,0.0036
sngp,normal,0.0233,0.01,0.0049
sngp,normal,0.0272,0.0119,0.0039
sngp,normal,0.0258,0.0107,0.0038
sngp_ensemble,normal,0.0266 ± 0.0017,0.0113 ± 0.0008,0.0032 ± 0.0009
sngp,normal,0.0287,0.0126,0.002
