mode,data_type,nll,brier,ece
sngp,shift,1.1192,0.4733,0.156
sngp,shift,1.0417,0.4579,0.1378
sngp,shift,1.2239,0.5115,0.1563
sngp,shift,0.9879,0.415,0.1116
sngp,shift,1.1628,0.476,0.1515
sngp,shift,0.9583,0.4111,0.1104
sngp,shift,1.1524,0.4773,0.1492
sngp,shift,1.0772,0.4569,0.1382
sngp,shift,1.0983,0.4845,0.1524
sngp,shift,1.2189,0.4914,0.1469
sngp_ensemble,shift,1.1040 ± 0.0854,0.4655 ± 0.0302,0.1410 ± 0.0162
sngp,shift,0.9071,0.4005,0.1104
sngp,shift,0.8117,0.3581,0.0676
sngp,shift,0.7161,0.3158,0.062
sngp,shift,0.8045,0.3578,0.0781
sngp,shift,0.9703,0.4098,0.0919
sngp,shift,0.8437,0.3744,0.0866
sngp,shift,0.9926,0.4301,0.113
sngp,shift,0.974,0.4314,0.119
sngp,shift,0.93,0.4137,0.1115
sngp,shift,0.8967,0.3965,0.0857
sngp_ensemble,shift,0.8847 ± 0.0846,0.3888 ± 0.0350,0.0926 ± 0.0191
sngp,shift,0.9071,0.4005,0.1104
sngp,shift,0.8117,0.3581,0.0676
sngp,shift,0.7161,0.3158,0.062
sngp,shift,0.8045,0.3578,0.0781
sngp,shift,0.9703,0.4098,0.0919
sngp,shift,0.8437,0.3744,0.0866
sngp,shift,0.9926,0.4301,0.113
sngp,shift,0.974,0.4314,0.119
sngp,shift,0.93,0.4137,0.1115
sngp,shift,0.8967,0.3965,0.0857
sngp_ensemble,shift,0.8847 ± 0.0846,0.3888 ± 0.0350,0.0926 ± 0.0191
sngp,shift,1.8819,0.6109,0.2518
sngp,shift,1.7814,0.619,0.2611
sngp,shift,1.764,0.6102,0.2451
sngp,shift,1.5781,0.5522,0.2221
sngp,shift,1.7353,0.5767,0.234
sngp,shift,1.5623,0.5509,0.2218
sngp,shift,1.9371,0.6087,0.2503
sngp,shift,1.4509,0.513,0.2056
sngp,shift,1.5443,0.5625,0.2286
sngp,shift,2.2772,0.7353,0.3181
sngp_ensemble,shift,1.7512 ± 0.2299,0.5939 ± 0.0573,0.2438 ± 0.0294
sngp,shift,1.4975,0.5146,0.2051
sngp,shift,1.6677,0.5696,0.2312
sngp,shift,1.605,0.5475,0.2282
sngp,shift,1.4972,0.5314,0.2173
sngp,shift,1.6402,0.5648,0.2374
sngp,shift,1.4759,0.5009,0.1991
sngp,shift,1.6335,0.5466,0.2193
sngp,shift,1.58,0.5353,0.2113
sngp,shift,1.3651,0.4853,0.1938
sngp,shift,1.7313,0.5869,0.2448
sngp_ensemble,shift,1.5693 ± 0.1036,0.5383 ± 0.0300,0.2187 ± 0.0159
sngp,shift,1.1841,0.5185,0.1739
sngp,shift,1.2865,0.563,0.1949
sngp,shift,1.1045,0.4887,0.1444
sngp,shift,1.0054,0.4379,0.1256
sngp,shift,1.0879,0.458,0.1336
sngp,shift,1.1507,0.4886,0.1426
sngp,shift,0.9894,0.4363,0.1196
sngp,shift,1.1059,0.4788,0.1446
sngp,shift,1.2086,0.5119,0.1603
sngp,shift,1.2394,0.5232,0.1684
sngp_ensemble,shift,1.1362 ± 0.0916,0.4905 ± 0.0381,0.1508 ± 0.0222
sngp,shift,1.153,0.5027,0.1649
sngp,shift,1.2266,0.5198,0.1632
sngp,shift,1.1143,0.4729,0.1488
sngp,shift,1.126,0.4857,0.1411
sngp,shift,1.23,0.5101,0.1621
sngp,shift,1.1359,0.4958,0.1694
sngp,shift,1.0915,0.4659,0.1265
sngp,shift,1.1493,0.4615,0.148
sngp,shift,1.1326,0.4978,0.1545
sngp,shift,1.2077,0.5449,0.1804
sngp_ensemble,shift,1.1567 ± 0.0458,0.4957 ± 0.0244,0.1559 ± 0.0147
sngp,shift,1.0914,0.4735,0.1526
sngp,shift,1.1254,0.4873,0.1505
sngp,shift,1.2249,0.5085,0.1622
sngp,shift,0.9053,0.386,0.0964
sngp,shift,1.0339,0.4354,0.1273
sngp,shift,1.0024,0.4248,0.116
sngp,shift,1.0814,0.4532,0.1311
sngp,shift,1.0495,0.4511,0.1289
sngp,shift,0.9888,0.4392,0.1314
sngp,shift,1.1328,0.4604,0.1343
sngp_ensemble,shift,1.0636 ± 0.0844,0.4520 ± 0.0324,0.1330 ± 0.0180
sngp,shift,1.1373,0.4837,0.1515
sngp,shift,1.0186,0.4577,0.1288
sngp,shift,1.2634,0.526,0.1579
sngp,shift,0.9806,0.4195,0.1148
sngp,shift,1.1099,0.4528,0.1403
sngp,shift,1.1502,0.4871,0.1503
sngp,shift,1.0913,0.4667,0.139
